rank of	rank:80,80,;
these two	these:64,76,;
a consensual	a:90,90,;
most resource	most:49,;
derived descriptor	derived:73,;
area necessitate	area:49,;
system therefore	system:63,63,;
statistical method	statistical:80,80,;
how does	how:52,55,;
by difference	by:63,;
automated information	automated:20,22,23,26,56,;
library the	library:58,;
error correction	error:86,86,;
schemes wanted	schemes:37,;
judgement of	judgement:84,;
research be	research:85,;
possibility be	possibility:6,9,;
documents relevant	documents:107,;
fields such	fields:48,;
computational facility	computational:101,;
larger subset	larger:97,;
automate general	automate:32,;
error and	error:88,88,;
having no	having:68,;
networks has	networks:58,;
shall explore	shall:96,96,;
computational power	computational:101,101,;
tended to	tended:76,;
as compared	as:89,;
have be	have:13,37,38,39,40,40,41,43,44,47,49,49,49,52,53,53,54,60,61,65,67,67,71,71,86,90,97,99,102,102,;
times greater	times:110,;
attention be	attention:76,;
methods found	methods:86,;
an experimental	an:67,84,98,99,;
records contained	records:92,;
system permit	system:87,;
be quote	be:110,;
bites hard	bites:110,;
it been	it:50,;
searches for	searches:86,;
studied can	studied:99,;
by this	by:90,;
meanings among	meanings:71,;
apparently superior	apparently:59,59,;
relatively small	relatively:71,71,;
is used	is:68,69,;
system query	system:96,;
on apply	on:49,;
to have	to:47,95,47,95,;
have an	have:54,;
found and	found:40,;
result what	result:53,;
experience in	experience:67,;
operationalize the	operationalize:90,90,;
can serve	can:63,63,;
b and	b:80,80,;
contained in	contained:92,94,;
file be	file:73,111,;
most resources	most:49,;
tackle the	tackle:104,;
this work	this:89,89,;
a alternative	a:95,;
structures extended	structures:18,;
make requests	make:98,;
only get	only:64,64,;
use pattern	use:67,;
vocabularies of	vocabularies:37,;
distinct from	distinct:75,75,;
regarding the	regarding:90,;
fuzzy set	fuzzy:62,62,95,96,62,95,96,;
datum thereby	datum:94,;
or arranged	or:57,;
inferences as	inferences:75,;
about information	about:47,48,47,48,;
approximately 78	approximately:67,67,;
assigning coded	assigning:69,;
in field	in:28,;
be alphabetical	be:41,;
libraries problems	libraries:32,;
base searchers	base:108,;
irrelevant has	irrelevant:50,;
storing large	storing:103,;
various field	various:90,;
end user	end:98,99,;
via title	via:107,107,;
conceptual factoring	conceptual:78,78,;
communication with	communication:90,90,;
office support	office:83,83,;
been developed	been:13,39,67,;
to keywords	to:93,;
an intermediate	an:68,;
catalog is	catalog:87,;
for simplify	for:99,;
making up	making:1,;
them access	them:70,;
elsewhere is	elsewhere:108,;
of similar	of:69,69,;
decision process	decision:70,70,;
ideas have	ideas:86,;
cost effective	cost:99,99,;
is supplemented	is:67,;
and cooperative	and:74,74,;
tree like	tree:77,77,;
during parsing	during:78,86,;
more suited	more:50,50,;
